province,region,zipcode,latitude,longitude
Ontario,Toronto,M1B1A6,43.798247,-79.224491
Ontario,Toronto,M1B1A7,43.798649,-79.224549
Ontario,Toronto,M1B1A8,43.800861,-79.226056
Ontario,Toronto,M1B1A9,43.800845,-79.22603
Ontario,Toronto,M1B1B1,43.79968,-79.224069
Ontario,Toronto,M1B1B2,43.799644,-79.221171
Ontario,Toronto,M1B1B3,43.799622,-79.221277
Ontario,Toronto,M1B1B4,43.800004,-79.220468
Ontario,Toronto,M1B1B5,43.801467,-79.220369
Ontario,Toronto,M1B1B6,43.802367,-79.21921
Ontario,Toronto,M1B1B7,43.800404,-79.224994
Ontario,Toronto,M1B1B8,43.80123,-79.22441
Ontario,Toronto,M1B1B9,43.802285,-79.223936
Ontario,Toronto,M1B1C1,43.800167,-79.223633
Ontario,Toronto,M1B1C2,43.800255,-79.223775
Ontario,Toronto,M1B1C3,43.799285,-79.222454
Ontario,Toronto,M1B1C4,43.799067,-79.222393
Ontario,Toronto,M1B1C5,43.799757,-79.220469
Ontario,Toronto,M1B1C6,43.799673,-79.220396
Ontario,Toronto,M1B1C7,43.801294,-79.220195
Ontario,Toronto,M1B1C8,43.802502,-79.21942
Ontario,Toronto,M1B1C9,43.803349,-79.219846
Ontario,Toronto,M1B1E1,43.803634,-79.220216
Ontario,Toronto,M1B1E2,43.803166,-79.219459
Ontario,Toronto,M1B1E3,43.803561,-79.219488
Ontario,Toronto,M1B1E4,43.802772,-79.220502
Ontario,Toronto,M1B1E5,43.799704,-79.22411
Ontario,Toronto,M1B1E6,43.799698,-79.221483
Ontario,Toronto,M1B1E7,43.799766,-79.221508
Ontario,Toronto,M1B1E8,43.808028,-79.164145
Ontario,Toronto,M1B1E9,43.805667,-79.160072
Ontario,Toronto,M1B1G1,43.805973,-79.160573
Ontario,Toronto,M1B1G2,43.802762,-79.154572
Ontario,Toronto,M1B1G3,43.800854,-79.150386
Ontario,Toronto,M1B1G4,43.805551,-79.161418
Ontario,Toronto,M1B1G5,43.804097,-79.160779
Ontario,Toronto,M1B1G6,43.800117,-79.150629
Ontario,Toronto,M1B1G8,43.798128,-79.147361
Ontario,Toronto,M1B1G9,43.797407,-79.148562
Ontario,Toronto,M1B1H1,43.805471,-79.158341
Ontario,Toronto,M1B1H2,43.804741,-79.158141
Ontario,Toronto,M1B1H3,43.797294,-79.227842
Ontario,Toronto,M1B1H4,43.803826,-79.1576
Ontario,Toronto,M1B1H5,43.795013,-79.224274
Ontario,Toronto,M1B1H6,43.795447,-79.221587
Ontario,Toronto,M1B1H7,43.795883,-79.223592
Ontario,Toronto,M1B1H8,43.793798,-79.229235
Ontario,Toronto,M1B1H9,43.793982,-79.228649
Ontario,Toronto,M1B1J1,43.793792,-79.228842
Ontario,Toronto,M1B1J2,43.794647,-79.223745
Ontario,Toronto,M1B1J3,43.795768,-79.223674
Ontario,Toronto,M1B1J4,43.795927,-79.219835
Ontario,Toronto,M1B1J5,43.795442,-79.219563
Ontario,Toronto,M1B1J6,43.795441,-79.219565
Ontario,Toronto,M1B1J7,43.794726,-79.225208
Ontario,Toronto,M1B1J8,43.795234,-79.224151
Ontario,Toronto,M1B1J9,43.794682,-79.225811
Ontario,Toronto,M1B1K1,43.795169,-79.226433
Ontario,Toronto,M1B1K2,43.803865,-79.220487
Ontario,Toronto,M1B1K3,43.802049,-79.223764
Ontario,Toronto,M1B1K4,43.803012,-79.224115
Ontario,Toronto,M1B1K5,43.80443,-79.220724
Ontario,Toronto,M1B1K6,43.801471,-79.216887
Ontario,Toronto,M1B1K7,43.80173,-79.216526
Ontario,Toronto,M1B1K8,43.801076,-79.215232
Ontario,Toronto,M1B1K9,43.801088,-79.215243
Ontario,Toronto,M1B1L1,43.800606,-79.214663
Ontario,Toronto,M1B1L2,43.8005,-79.213724
Ontario,Toronto,M1B1L3,43.800285,-79.21388
Ontario,Toronto,M1B1L4,43.79969,-79.213589
Ontario,Toronto,M1B1L5,43.800233,-79.215042
Ontario,Toronto,M1B1L6,43.800407,-79.214923
Ontario,Toronto,M1B1L7,43.801676,-79.215956
Ontario,Toronto,M1B1L8,43.802489,-79.214014
Ontario,Toronto,M1B1L9,43.801701,-79.214655
Ontario,Toronto,M1B1M1,43.801271,-79.215242
Ontario,Toronto,M1B1M2,43.80193,-79.217316
Ontario,Toronto,M1B1M3,43.801868,-79.217064
Ontario,Toronto,M1B1M4,43.803655,-79.212304
Ontario,Toronto,M1B1M5,43.792039,-79.230074
Ontario,Toronto,M1B1M6,43.791894,-79.231989
Ontario,Toronto,M1B1M7,43.791915,-79.232351
Ontario,Toronto,M1B1M9,43.80576,-79.211426
Ontario,Toronto,M1B1N1,43.794781,-79.225463
Ontario,Toronto,M1B1N2,43.793274,-79.229328
Ontario,Toronto,M1B1N3,43.801418,-79.210439
Ontario,Toronto,M1B1N4,43.801117,-79.210678
Ontario,Toronto,M1B1N5,43.802407,-79.210406
Ontario,Toronto,M1B1N6,43.803142,-79.209857
Ontario,Toronto,M1B1N7,43.803447,-79.210625
Ontario,Toronto,M1B1N8,43.80247,-79.214239
Ontario,Toronto,M1B1N9,43.802552,-79.211619
Ontario,Toronto,M1B1P1,43.802617,-79.212784
Ontario,Toronto,M1B1P2,43.801999,-79.211757
Ontario,Toronto,M1B1P3,43.80083,-79.212258
Ontario,Toronto,M1B1P4,43.803016,-79.213991
Ontario,Toronto,M1B1P5,43.796741,-79.23554
Ontario,Toronto,M1B1P6,43.797043,-79.234299
Ontario,Toronto,M1B1P7,43.797428,-79.232706
Ontario,Toronto,M1B1P8,43.799509,-79.230609
Ontario,Toronto,M1B1P9,43.79874,-79.230862
Ontario,Toronto,M1B1R1,43.800948,-79.228537
Ontario,Toronto,M1B1R2,43.801331,-79.226861
Ontario,Toronto,M1B1R3,43.797128,-79.2329
Ontario,Toronto,M1B1R4,43.796961,-79.2329
Ontario,Toronto,M1B1R5,43.79559,-79.233494
Ontario,Toronto,M1B1R6,43.797144,-79.234547
Ontario,Toronto,M1B1R7,43.798579,-79.235363
Ontario,Toronto,M1B1R8,43.798427,-79.230155
Ontario,Toronto,M1B1R9,43.799257,-79.2287
Ontario,Toronto,M1B1S1,43.800112,-79.228059
Ontario,Toronto,M1B1S2,43.799057,-79.229173
Ontario,Toronto,M1B1S3,43.800215,-79.228562
Ontario,Toronto,M1B1S4,43.801703,-79.226579
Ontario,Toronto,M1B1S5,43.798552,-79.23036
Ontario,Toronto,M1B1S6,43.80244,-79.210667
Ontario,Toronto,M1B1S7,43.798859,-79.236348
Ontario,Toronto,M1B1S8,43.798837,-79.236338
Ontario,Toronto,M1B1S9,43.801335,-79.228085
Ontario,Toronto,M1B1T1,43.81395,-79.238528
Ontario,Toronto,M1B1T2,43.799664,-79.236826
Ontario,Toronto,M1B1T3,43.800032,-79.236399
Ontario,Toronto,M1B1T4,43.813837,-79.228387
Ontario,Toronto,M1B1T5,43.8137,-79.230591
Ontario,Toronto,M1B1T6,43.813701,-79.230591
Ontario,Toronto,M1B1T7,43.814312,-79.233718
Ontario,Toronto,M1B1T8,43.814234,-79.234076
Ontario,Toronto,M1B1T9,43.812029,-79.233474
Ontario,Toronto,M1B1V1,43.813024,-79.234303
Ontario,Toronto,M1B1V2,43.813811,-79.236087
Ontario,Toronto,M1B1V3,43.811051,-79.234244
Ontario,Toronto,M1B1V4,43.810791,-79.235343
Ontario,Toronto,M1B1V5,43.808852,-79.233142
Ontario,Toronto,M1B1V6,43.813531,-79.231588
Ontario,Toronto,M1B1V7,43.813556,-79.231598
Ontario,Toronto,M1B1V8,43.813369,-79.230461
Ontario,Toronto,M1B1V9,43.812897,-79.230278
Ontario,Toronto,M1B1W1,43.811197,-79.232543
Ontario,Toronto,M1B1W2,43.811638,-79.230826
Ontario,Toronto,M1B1W3,43.811518,-79.235911
Ontario,Toronto,M1B1W4,43.808599,-79.231395
Ontario,Toronto,M1B1W5,43.808979,-79.229958
Ontario,Toronto,M1B1W6,43.809506,-79.23233
Ontario,Toronto,M1B1W7,43.808733,-79.232293
Ontario,Toronto,M1B1W8,43.808718,-79.231232
Ontario,Toronto,M1B1W9,43.809837,-79.233337
Ontario,Toronto,M1B1X1,43.810327,-79.233549
Ontario,Toronto,M1B1X2,43.80783,-79.232595
Ontario,Toronto,M1B1X3,43.807665,-79.23262
Ontario,Toronto,M1B1X4,43.80913,-79.232512
Ontario,Toronto,M1B1X5,43.808934,-79.23242
Ontario,Toronto,M1B1X6,43.809628,-79.232323
Ontario,Toronto,M1B1X7,43.810717,-79.232585
Ontario,Toronto,M1B1X8,43.812895,-79.232771
Ontario,Toronto,M1B1X9,43.813037,-79.232891
Ontario,Toronto,M1B1Y1,43.813656,-79.230199
Ontario,Toronto,M1B1Y2,43.813787,-79.229004
Ontario,Toronto,M1B1Y3,43.813598,-79.228506
Ontario,Toronto,M1B1Y4,43.809696,-79.235124
Ontario,Toronto,M1B1Y5,43.800511,-79.232929
Ontario,Toronto,M1B1Y6,43.800751,-79.231374
Ontario,Toronto,M1B1Y7,43.80257,-79.232173
Ontario,Toronto,M1B1Y8,43.800954,-79.23136
Ontario,Toronto,M1B1Y9,43.807938,-79.237573
Ontario,Toronto,M1B1Z1,43.801657,-79.231777
Ontario,Toronto,M1B1Z2,43.80257,-79.232171
Ontario,Toronto,M1B1Z3,43.791281,-79.229796
Ontario,Toronto,M1B1Z4,43.806944,-79.236741
Ontario,Toronto,M1B1Z5,43.802968,-79.172929
Ontario,Toronto,M1B1Z6,43.802975,-79.172932
Ontario,Toronto,M1B1Z7,43.791929,-79.232872
Ontario,Toronto,M1B1Z8,43.791534,-79.230016
Ontario,Toronto,M1B1Z9,43.79047,-79.232937
Ontario,Toronto,M1B2A1,43.808883,-79.237896
Ontario,Toronto,M1B2A2,43.798289,-79.214342
Ontario,Toronto,M1B2A3,43.797431,-79.214949
Ontario,Toronto,M1B2A4,43.797664,-79.212382
Ontario,Toronto,M1B2A5,43.797714,-79.212296
Ontario,Toronto,M1B2A6,43.796755,-79.213704
Ontario,Toronto,M1B2A7,43.797564,-79.213826
Ontario,Toronto,M1B2A8,43.797307,-79.211561
Ontario,Toronto,M1B2A9,43.796678,-79.211735
Ontario,Toronto,M1B2B1,43.798973,-79.212961
Ontario,Toronto,M1B2B2,43.799063,-79.212807
Ontario,Toronto,M1B2B3,43.798308,-79.212474
Ontario,Toronto,M1B2B4,43.797494,-79.211701
Ontario,Toronto,M1B2B5,43.797764,-79.209232
Ontario,Toronto,M1B2B6,43.798135,-79.208333
Ontario,Toronto,M1B2B7,43.798103,-79.208478
Ontario,Toronto,M1B2B8,43.798104,-79.208479
Ontario,Toronto,M1B2B9,43.797848,-79.209534
Ontario,Toronto,M1B2C1,43.797811,-79.209518
Ontario,Toronto,M1B2C2,43.799075,-79.210299
Ontario,Toronto,M1B2C3,43.797891,-79.236189
Ontario,Toronto,M1B2C4,43.79751,-79.237955
Ontario,Toronto,M1B2C5,43.798225,-79.23882
Ontario,Toronto,M1B2C6,43.797841,-79.238459
Ontario,Toronto,M1B2C7,43.797507,-79.239383
Ontario,Toronto,M1B2C8,43.79755,-79.211868
Ontario,Toronto,M1B2C9,43.806135,-79.174018
Ontario,Toronto,M1B2E1,43.806814,-79.172749
Ontario,Toronto,M1B2E2,43.806498,-79.170849
Ontario,Toronto,M1B2E3,43.805066,-79.171754
Ontario,Toronto,M1B2E4,43.804916,-79.170882
Ontario,Toronto,M1B2E5,43.810972,-79.239574
Ontario,Toronto,M1B2E6,43.797695,-79.236322
Ontario,Toronto,M1B2E7,43.798306,-79.239522
Ontario,Toronto,M1B2E8,43.798362,-79.237084
Ontario,Toronto,M1B2E9,43.806129,-79.174384
Ontario,Toronto,M1B2G1,43.808077,-79.2342
Ontario,Toronto,M1B2G2,43.806942,-79.236783
Ontario,Toronto,M1B2G4,43.809355,-79.238058
Ontario,Toronto,M1B2G5,43.815288,-79.232245
Ontario,Toronto,M1B2G6,43.810682,-79.237639
Ontario,Toronto,M1B2G7,43.806554,-79.175479
Ontario,Toronto,M1B2G8,43.806745,-79.17507
Ontario,Toronto,M1B2H1,43.797438,-79.236075
Ontario,Toronto,M1B2H2,43.79968,-79.237325
Ontario,Toronto,M1B2H3,43.805889,-79.170539
Ontario,Toronto,M1B2H4,43.805672,-79.170479
Ontario,Toronto,M1B2H5,43.806141,-79.168888
Ontario,Toronto,M1B2H6,43.806384,-79.166126
Ontario,Toronto,M1B2H7,43.805009,-79.164857
Ontario,Toronto,M1B2H8,43.805486,-79.164758
Ontario,Toronto,M1B2H9,43.8061,-79.164209
Ontario,Toronto,M1B2J1,43.805052,-79.165881
Ontario,Toronto,M1B2J2,43.80656,-79.166055
Ontario,Toronto,M1B2J3,43.807626,-79.167517
Ontario,Toronto,M1B2J4,43.807236,-79.16635
Ontario,Toronto,M1B2J5,43.807246,-79.169233
Ontario,Toronto,M1B2J6,43.807238,-79.169226
Ontario,Toronto,M1B2J7,43.808269,-79.16605
Ontario,Toronto,M1B2J8,43.808471,-79.16725
Ontario,Toronto,M1B2J9,43.807696,-79.166714
Ontario,Toronto,M1B2K1,43.8077,-79.16671
Ontario,Toronto,M1B2K2,43.811016,-79.226975
Ontario,Toronto,M1B2K3,43.810724,-79.227423
Ontario,Toronto,M1B2K4,43.792983,-79.22476
Ontario,Toronto,M1B2K5,43.804345,-79.168321
Ontario,Toronto,M1B2K6,43.804551,-79.167021
Ontario,Toronto,M1B2K7,43.804784,-79.165595
Ontario,Toronto,M1B2K9,43.789601,-79.22894
Ontario,Toronto,M1B2L1,43.790943,-79.230728
Ontario,Toronto,M1B2L2,43.805219,-79.221514
Ontario,Toronto,M1B2L3,43.794064,-79.238426
Ontario,Toronto,M1B2L4,43.794228,-79.237168
Ontario,Toronto,M1B2L5,43.803574,-79.212199
Ontario,Toronto,M1B2L6,43.797905,-79.208638
Ontario,Toronto,M1B2L7,43.804368,-79.21654
Ontario,Toronto,M1B2L8,43.801734,-79.174772
Ontario,Toronto,M1B2L9,43.802995,-79.175335
Ontario,Toronto,M1B2M1,43.80202,-79.177152
Ontario,Toronto,M1B2M2,43.802975,-79.176096
Ontario,Toronto,M1B2M3,43.803185,-79.175493
Ontario,Toronto,M1B2M4,43.802922,-79.178796
Ontario,Toronto,M1B2M5,43.802924,-79.178783
Ontario,Toronto,M1B2M6,43.803316,-79.176733
Ontario,Toronto,M1B2M7,43.803311,-79.176735
Ontario,Toronto,M1B2M8,43.805503,-79.177032
Ontario,Toronto,M1B2M9,43.804749,-79.177712
Ontario,Toronto,M1B2N1,43.801617,-79.175788
Ontario,Toronto,M1B2N2,43.802755,-79.176543
Ontario,Toronto,M1B2N3,43.802988,-79.176468
Ontario,Toronto,M1B2N4,43.803325,-79.177253
Ontario,Toronto,M1B2N5,43.803554,-79.177874
Ontario,Toronto,M1B2N6,43.804639,-79.178494
Ontario,Toronto,M1B2N7,43.804756,-79.167166
Ontario,Toronto,M1B2N8,43.804761,-79.167168
Ontario,Toronto,M1B2N9,43.805424,-79.166769
Ontario,Toronto,M1B2P1,43.80551,-79.16702
Ontario,Toronto,M1B2P2,43.805753,-79.165969
Ontario,Toronto,M1B2P3,43.801719,-79.225316
Ontario,Toronto,M1B2P4,43.81102,-79.226836
Ontario,Toronto,M1B2P5,43.806649,-79.20983
Ontario,Toronto,M1B2P6,43.8035,-79.206845
Ontario,Toronto,M1B2P7,43.802502,-79.205471
Ontario,Toronto,M1B2P8,43.802625,-79.20506
Ontario,Toronto,M1B2P9,43.803673,-79.202821
Ontario,Toronto,M1B2R1,43.803338,-79.203056
Ontario,Toronto,M1B2R2,43.804458,-79.202291
Ontario,Toronto,M1B2R3,43.805463,-79.202556
Ontario,Toronto,M1B2R4,43.806468,-79.204208
Ontario,Toronto,M1B2R5,43.806552,-79.202975
Ontario,Toronto,M1B2R6,43.8067,-79.204538
Ontario,Toronto,M1B2R7,43.807135,-79.206437
Ontario,Toronto,M1B2R8,43.806726,-79.20544
Ontario,Toronto,M1B2R9,43.804594,-79.207788
Ontario,Toronto,M1B2S1,43.801685,-79.207183
Ontario,Toronto,M1B2S2,43.802152,-79.206239
Ontario,Toronto,M1B2S3,43.801826,-79.207445
Ontario,Toronto,M1B2S4,43.801956,-79.206367
Ontario,Toronto,M1B2S5,43.802588,-79.204936
Ontario,Toronto,M1B2S6,43.803383,-79.203547
Ontario,Toronto,M1B2S7,43.803091,-79.202876
Ontario,Toronto,M1B2S8,43.803949,-79.201896
Ontario,Toronto,M1B2S9,43.804695,-79.203301
Ontario,Toronto,M1B2T1,43.805433,-79.20243
Ontario,Toronto,M1B2T2,43.806891,-79.204149
Ontario,Toronto,M1B2T3,43.807872,-79.204279
Ontario,Toronto,M1B2T4,43.806717,-79.205297
Ontario,Toronto,M1B2T5,43.806836,-79.206656
Ontario,Toronto,M1B2T6,43.810765,-79.238993
Ontario,Toronto,M1B2T7,43.810496,-79.238594
Ontario,Toronto,M1B2T8,43.810546,-79.238769
Ontario,Toronto,M1B2T9,43.813056,-79.242236
Ontario,Toronto,M1B2V1,43.804167,-79.163795
Ontario,Toronto,M1B2V2,43.80633,-79.208431
Ontario,Toronto,M1B2V3,43.794854,-79.234866
Ontario,Toronto,M1B2V4,43.795588,-79.235301
Ontario,Toronto,M1B2V5,43.798555,-79.240022
Ontario,Toronto,M1B2V6,43.799256,-79.206857
Ontario,Toronto,M1B2V9,43.783974,-79.234509
Ontario,Toronto,M1B2W1,43.790283,-79.237332
Ontario,Toronto,M1B2W2,43.795228,-79.239702
Ontario,Toronto,M1B2W3,43.805891,-79.242022
Ontario,Toronto,M1B2W4,43.80788,-79.24437
Ontario,Toronto,M1B2W5,43.80421,-79.168919
Ontario,Toronto,M1B2W6,43.804334,-79.171007
Ontario,Toronto,M1B2W7,43.803373,-79.170816
Ontario,Toronto,M1B2W8,43.801571,-79.174906
Ontario,Toronto,M1B2W9,43.801914,-79.177272
Ontario,Toronto,M1B2X1,43.795759,-79.239779
Ontario,Toronto,M1B2X2,43.801804,-79.173635
Ontario,Toronto,M1B2X3,43.802686,-79.172001
Ontario,Toronto,M1B2X4,43.81053,-79.238268
Ontario,Toronto,M1B2X5,43.810628,-79.237859
Ontario,Toronto,M1B2X6,43.806946,-79.2367
Ontario,Toronto,M1B2X7,43.808694,-79.237832
Ontario,Toronto,M1B2Y1,43.79478,-79.239254
Ontario,Toronto,M1B2Y2,43.794742,-79.23944
Ontario,Toronto,M1B2Y3,43.795528,-79.235596
Ontario,Toronto,M1B2Y4,43.795764,-79.239752
Ontario,Toronto,M1B2Y7,43.801983,-79.200022
Ontario,Toronto,M1B2Y8,43.807675,-79.232448
Ontario,Toronto,M1B2Y9,43.807773,-79.233452
Ontario,Toronto,M1B2Z1,43.809024,-79.205304
Ontario,Toronto,M1B2Z2,43.809245,-79.206013
Ontario,Toronto,M1B2Z3,43.810594,-79.205475
Ontario,Toronto,M1B2Z4,43.810553,-79.205617
Ontario,Toronto,M1B2Z5,43.814103,-79.210786
Ontario,Toronto,M1B2Z6,43.814019,-79.210714
Ontario,Toronto,M1B2Z7,43.794844,-79.239505
Ontario,Toronto,M1B2Z8,43.811146,-79.206479
Ontario,Toronto,M1B2Z9,43.810867,-79.206939
Ontario,Toronto,M1B3A1,43.812153,-79.227705
Ontario,Toronto,M1B3A2,43.813723,-79.210457
Ontario,Toronto,M1B3A3,43.813613,-79.210361
Ontario,Toronto,M1B3A4,43.801643,-79.199669
Ontario,Toronto,M1B3A5,43.813904,-79.210743
Ontario,Toronto,M1B3A6,43.814229,-79.209204
Ontario,Toronto,M1B3A8,43.812725,-79.207482
Ontario,Toronto,M1B3A9,43.811887,-79.207023
Ontario,Toronto,M1B3B1,43.814231,-79.20921
Ontario,Toronto,M1B3B2,43.80851,-79.206483
Ontario,Toronto,M1B3B3,43.808517,-79.206481
Ontario,Toronto,M1B3B4,43.809356,-79.206095
Ontario,Toronto,M1B3B5,43.81,-79.205672
Ontario,Toronto,M1B3B6,43.811037,-79.205868
Ontario,Toronto,M1B3B7,43.813175,-79.206662
Ontario,Toronto,M1B3B8,43.814191,-79.21029
Ontario,Toronto,M1B3B9,43.813903,-79.210745
Ontario,Toronto,M1B3C1,43.798153,-79.217269
Ontario,Toronto,M1B3C2,43.809261,-79.221025
Ontario,Toronto,M1B3C3,43.795722,-79.215614
Ontario,Toronto,M1B3C4,43.807473,-79.230967
Ontario,Toronto,M1B3C5,43.806731,-79.201535
Ontario,Toronto,M1B3C6,43.789454,-79.235386
Ontario,Toronto,M1B3C7,43.805663,-79.211491
Ontario,Toronto,M1B3C8,43.806681,-79.209368
Ontario,Toronto,M1B3C9,43.805859,-79.209866
Ontario,Toronto,M1B3E1,43.807483,-79.207747
Ontario,Toronto,M1B3E2,43.8064,-79.208589
Ontario,Toronto,M1B3E3,43.806763,-79.210091
Ontario,Toronto,M1B3E4,43.807494,-79.210119
Ontario,Toronto,M1B3E5,43.806561,-79.208443
Ontario,Toronto,M1B3E6,43.801799,-79.173662
Ontario,Toronto,M1B3E7,43.81339,-79.20848
Ontario,Toronto,M1B3E8,43.80612,-79.198689
Ontario,Toronto,M1B3E9,43.801226,-79.235877
Ontario,Toronto,M1B3G1,43.80016,-79.204893
Ontario,Toronto,M1B3G2,43.806468,-79.213757
Ontario,Toronto,M1B3G3,43.807122,-79.214967
Ontario,Toronto,M1B3G4,43.790673,-79.237485
Ontario,Toronto,M1B3G5,43.808264,-79.215534
Ontario,Toronto,M1B3G7,43.805356,-79.220887
Ontario,Toronto,M1B3G8,43.804229,-79.168785
Ontario,Toronto,M1B3G9,43.803849,-79.17
Ontario,Toronto,M1B3H1,43.803538,-79.170534
Ontario,Toronto,M1B3H2,43.807271,-79.216764
Ontario,Toronto,M1B3H3,43.802625,-79.230414
Ontario,Toronto,M1B3H4,43.802791,-79.230386
Ontario,Toronto,M1B3H5,43.800846,-79.177925
Ontario,Toronto,M1B3H6,43.800789,-79.177913
Ontario,Toronto,M1B3J1,43.810817,-79.203684
Ontario,Toronto,M1B3J4,43.80558,-79.193855
Ontario,Toronto,M1B3J5,43.809396,-79.200074
Ontario,Toronto,M1B3L6,43.806969,-79.199066
Ontario,Toronto,M1B3L8,43.803065,-79.178963
Ontario,Toronto,M1B3L9,43.806183,-79.219112
Ontario,Toronto,M1B3M5,43.809562,-79.19999
Ontario,Toronto,M1B3M6,43.789194,-79.235272
Ontario,Toronto,M1B3R5,43.805545,-79.220726
Ontario,Toronto,M1B3R6,43.802967,-79.232862
Ontario,Toronto,M1B3R7,43.804719,-79.198054
Ontario,Toronto,M1B3R9,43.799515,-79.202701
Ontario,Toronto,M1B3S1,43.799899,-79.200859
Ontario,Toronto,M1B3S3,43.80568,-79.211813
Ontario,Toronto,M1B3S4,43.80632,-79.198779
Ontario,Toronto,M1B3T2,43.79785,-79.208869
Ontario,Toronto,M1B3T3,43.799769,-79.205201
Ontario,Toronto,M1B3T7,43.803008,-79.155481
Ontario,Toronto,M1B3V1,43.803019,-79.232636
Ontario,Toronto,M1B3V2,43.80694,-79.236825
Ontario,Toronto,M1B3V3,43.807466,-79.237411
Ontario,Toronto,M1B3V4,43.789863,-79.23572
Ontario,Toronto,M1B3V5,43.802992,-79.224118
Ontario,Toronto,M1B3V6,43.802777,-79.224323
Ontario,Toronto,M1B3V7,43.807343,-79.2166
Ontario,Toronto,M1B3V8,43.806415,-79.213762
Ontario,Toronto,M1B3V9,43.80465,-79.200643
Ontario,Toronto,M1B3W1,43.805036,-79.200814
Ontario,Toronto,M1B3W2,43.805421,-79.200985
Ontario,Toronto,M1B3W3,43.802924,-79.19581
Ontario,Toronto,M1B3W4,43.800454,-79.149162
Ontario,Toronto,M1B3W5,43.804122,-79.157409
Ontario,Toronto,M1B3W6,43.797026,-79.230985
Ontario,Toronto,M1B3W7,43.79705,-79.231012
Ontario,Toronto,M1B3W8,43.796394,-79.230587
Ontario,Toronto,M1B3W9,43.796641,-79.231418
Ontario,Toronto,M1B3X1,43.796632,-79.23146
Ontario,Toronto,M1B3X2,43.799534,-79.206286
Ontario,Toronto,M1B3X3,43.799541,-79.206294
Ontario,Toronto,M1B3X4,43.799822,-79.203418
Ontario,Toronto,M1B3X5,43.799563,-79.203709
Ontario,Toronto,M1B3X6,43.798772,-79.204289
Ontario,Toronto,M1B3X7,43.798728,-79.203548
Ontario,Toronto,M1B3X8,43.798761,-79.203679
Ontario,Toronto,M1B3X9,43.810374,-79.210601
Ontario,Toronto,M1B3Y1,43.810084,-79.210795
Ontario,Toronto,M1B3Y2,43.810647,-79.210285
Ontario,Toronto,M1B3Y3,43.810375,-79.210601
Ontario,Toronto,M1B3Y4,43.810376,-79.210601
Ontario,Toronto,M1B3Y5,43.810377,-79.210601
Ontario,Toronto,M1B3Y6,43.810097,-79.210648
Ontario,Toronto,M1B3Y7,43.810079,-79.210476
Ontario,Toronto,M1B3Y8,43.810079,-79.210476
Ontario,Toronto,M1B3Y9,43.810379,-79.210601
Ontario,Toronto,M1B3Z1,43.81172,-79.211079
Ontario,Toronto,M1B3Z2,43.81038,-79.210601
Ontario,Toronto,M1B3Z3,43.811797,-79.211037
Ontario,Toronto,M1B3Z4,43.810381,-79.210601
Ontario,Toronto,M1B3Z5,43.812116,-79.211944
Ontario,Toronto,M1B3Z6,43.812115,-79.211892
Ontario,Toronto,M1B3Z7,43.812098,-79.211644
Ontario,Toronto,M1B3Z8,43.812023,-79.211731
Ontario,Toronto,M1B3Z9,43.812024,-79.211731
Ontario,Toronto,M1B4A1,43.812129,-79.213026
Ontario,Toronto,M1B4A2,43.812025,-79.211731
Ontario,Toronto,M1B4A3,43.811196,-79.211318
Ontario,Toronto,M1B4A4,43.812124,-79.212625
Ontario,Toronto,M1B4A5,43.812123,-79.21257
Ontario,Toronto,M1B4A6,43.812125,-79.212635
